activity_id,activity_name,activity_type,sponsor_id,venue_id,poster_url,intro,start_time,end_time,on_sale_time,sold_out_time,price_range,remaining_tickets,status
1,周杰伦 2025 世界巡回演唱会 - 北京鸟巢站,演唱会,101,201,https://pic.example.com/jay2025_bj.jpg,周杰伦携全新专辑曲目开唱，包含经典老歌串烧、舞台特效沉浸式体验,2025/8/15 19:30,2025/8/17 22:00,2025/6/20 10:00,NULL,380-1980 元,1256,1
2,《如梦之梦》话剧巡演 - 上海大剧院站,话剧,102,202,https://pic.example.com/drama_smh.jpg,赖声川经典话剧，胡歌、许晴领衔主演，8 小时沉浸式戏剧体验,2025/7/20 19:00,2025/7/27 21:30,2025/5/10 14:00,2025/5/12 9:15,580-2880 元,0,2
3,2025 中超联赛北京国安 VS 广州恒大,体育赛事,103,203,https://pic.example.com/football_bjgz.jpg,中超焦点战，国安主场迎战恒大，角逐联赛积分榜前列,2025/6/28 19:35,2025/6/28 21:45,2025/6/1 9:00,NULL,180-1280 元,890,1
4,「笑果脱口秀」年度巡演 - 深圳站,脱口秀,104,204,https://pic.example.com/talk_sz.jpg,李诞、王建国等笑果卡司齐聚，带来爆笑现场，主打职场、生活趣味话题,2025/7/5 20:00,2025/7/6 21:30,2025/6/10 12:00,NULL,120-580 元,320,1
5,「梵高星空」沉浸式艺术展览 - 成都站,展览,105,205,https://pic.example.com/exhibition_cd.jpg,采用 3D 投影技术还原梵高经典画作，沉浸式体验印象派艺术魅力,2025/5/1 10:00,2025/8/31 21:00,2025/4/15 9:00,NULL,80-220 元,5000,1
6,2025 草莓音乐节 - 杭州站,音乐节,106,206,https://pic.example.com/music_hz.jpg,新裤子、万能青年旅店等乐队加盟，涵盖摇滚、民谣、电子等多种曲风,2025/9/13 13:00,2025/9/14 22:00,2025/7/15 10:00,NULL,280-680 元,1860,0
7,《冰雪奇缘》儿童剧 - 广州少年宫站,儿童剧,107,207,https://pic.example.com/kid_gz.jpg,迪士尼经典 IP 改编，真人舞台演绎，搭配冰雪特效，适合亲子观看,2025/6/1 10:00,2025/6/3 18:00,2025/4/20 9:00,2025/5/20 16:30,160-480 元,0,2
8,2025 黄山风景区深度游套票 - 暑期专场,景区门票,108,208,https://pic.example.com/scenic_hs.jpg,含黄山门票 + 索道 + 讲解服务，暑期专属优惠，适合家庭、户外爱好者,2025/7/1 8:00,2025/8/31 18:00,2025/6/5 9:00,NULL,298-598 元,2100,1
9,2025 商业领袖峰会 - 上海国际会议中心站,商务演出,109,209,https://pic.example.com/business_sh.jpg,汇聚国内外知名企业家，探讨数字经济与企业转型，含高端晚宴与交流环节,2025/5/20 9:00,2025/5/21 18:00,2025/4/1 10:00,NULL,1980-9800 元,150,3
10,「漫威宇宙」电影展映周 - 北京万达影城,电影展映,110,210,https://pic.example.com/movie_bj.jpg,漫威经典电影连映，含《复仇者联盟》系列、《蜘蛛侠》全季，IMAX 厅专属场次,2025/6/10 9:00,2025/6/16 22:00,2025/6/1 12:00,NULL,35-88 元,420,1
11,2025 乒乓球世界杯决赛 - 深圳湾体育中心,体育赛事,103,211,https://pic.example.com/tabletennis_sz.jpg,世界顶尖乒乓选手角逐冠军，国乒主力参赛，现场观赛含互动环节,2025/10/1 14:00,2025/10/7 20:00,2025/8/1 10:00,NULL,280-1680 元,3200,0
12,「李健」民谣演唱会 - 南京奥体中心站,演唱会,101,212,https://pic.example.com/lijian_nj.jpg,李健携《贝加尔湖畔》等经典曲目开唱，民谣与古典音乐结合的沉浸式演出,2025/7/8 19:30,2025/7/8 22:00,2025/5/5 10:00,NULL,280-1580 元,0,4
